tree_depth,nu,cascade_depth,feature_pool_size,num_test_splits,oversampling_amount,oversampling_translation_jitter,inference_speed,training_time,training_error,testing_error,model_size
6,0.2,14,1000,300,40,0.25,0.002026867866516113,14298.607397317886,1.9808060798718001,7.868863080621334,125165502
8,0.2,18,1000,300,40,0.25,0.003304147720336914,24336.48678445816,0.2763593405649918,9.695455043159818,635411915
4,0.3,18,1000,300,40,0.1,0.0017008066177368164,12412.396797180176,3.237426365220721,7.282490164994394,40399026
6,0.2,16,1000,300,40,0.25,0.0022493600845336914,16326.848603010178,1.671774959086369,7.555949535548025,143032775
8,0.2,18,1000,300,40,0.1,0.0032028913497924804,24289.36075568199,0.25080002827403247,8.289193276960548,634460439
8,0.4,18,1000,300,40,0.25,0.0032408714294433595,23941.393677949905,0.045295562232199445,15.89442483622809,624204304
8,0.3,14,1000,300,40,0.25,0.002478814125061035,19022.6178085804,0.2623614405767752,12.069681800072443,495037015
6,0.2,12,1000,300,40,0.1,0.0017408132553100586,12201.522549629211,1.9369741881169444,7.144598217718219,107272459
4,0.3,14,1000,300,40,0.1,0.001353287696838379,9673.724100112915,4.046435810859397,7.312182230008623,31421274
8,0.3,12,1000,300,40,0.25,0.002176856994628906,16883.65050292015,0.3860671380615413,12.820071046322527,425719505
4,0.3,14,1000,300,40,0.25,0.0013561010360717773,9540.32966184616,6.028366996205877,8.057219705131443,31421996
6,0.4,14,1000,300,40,0.25,0.0019744873046875,14096.219192743301,1.4767474316549232,8.96166857066954,125160843
6,0.3,16,1000,300,40,0.25,0.002159786224365234,16115.658006191254,1.397322361871558,8.828508238673434,143076199
6,0.4,12,1000,300,40,0.25,0.0017058610916137694,12108.365443706512,1.8025418305831553,9.054124445218065,107292940
6,0.2,14,1000,300,40,0.1,0.0019231319427490234,14047.429318189621,1.6497786996049209,7.157500809885244,125134664
8,0.3,16,1000,300,40,0.1,0.0027402400970458984,21623.638392210007,0.15919683214283625,9.198374187703795,562543558
8,0.2,12,1000,300,40,0.25,0.002129387855529785,16369.016581058502,0.6077418302368158,9.889777631235603,426300756
8,0.4,12,1000,300,40,0.1,0.0023596525192260743,16777.719727516174,0.21734252381514205,11.224295887460476,422696030
